
name,date,location,venue,address,prefecture,city,lat,lon,source,url
鉄道模型ファン必見！浪速区民センターで「夏の鉄道模型運転会」開催,2025/07/31 00:02,大阪市浪速区,,大阪市浪速区,,大阪市浪速区,34.6628300,135.4904850,号外NET,https://naniwa-nishinari.goguynet.jp/2025/07/31/mokei-train/
こども向けの参加型イベント「こどもアートアドベンチャー」が開催されます！,2025/07/30 23:59,練馬区,,練馬区,,練馬区,35.7506445,139.6162651,号外NET,https://nerima.goguynet.jp/2025/07/30/art-2/
例年「小松サマーカーナバル」が開催されるグラウンドで、お祭りの準備が進められていました。,2025/07/30 23:57,大阪市東淀川区,,大阪市東淀川区,,大阪市東淀川区,34.7412325,135.5293866,号外NET,https://higashiyodogawaku.goguynet.jp/2025/07/30/komatsu-natsumatsuri/
自分の感情を言葉であらわそう！2025年8月9日（土）に福井県生活学習館にてワタシを知る・癒す②「『ヤバい』『エグい』だけでいいの？ 感情リテラシー」講座が開催されます！,2025/07/30 23:55,福井市,,福井市,,福井市,36.0617510,136.2260542,号外NET,https://fukui.goguynet.jp/2025/07/30/yabai-egui-dakede-iino-kanjo-literacy/
8月1日・2日にアトレ浦和でおトクな詰め放題イベントが開催されるみたい,2025/07/30 23:55,さいたま市浦和区,,さいたま市浦和区,,さいたま市浦和区,35.8620263,139.6455051,号外NET,https://saitamaurawa-midori.goguynet.jp/2025/07/30/tsumetsumematsuri-atreurawa/
8月8日（金）「誰でも取り組める！ 売れるネットショップ ＋ 商品の作り方」セミナーが開催されます！,2025/07/30 23:55,姶良市,,姶良市,,姶良市,31.7282816,130.6276569,号外NET,https://kirishima-aira.goguynet.jp/2025/07/30/netshop-seminar/
8月2日は「第20回厚狭ふるさと納・涼・祭」が開催されます！,2025/07/30 23:54,山陽小野田市,,山陽小野田市,,山陽小野田市,34.0030045,131.1819289,号外NET,https://ube-sanyoonoda.goguynet.jp/2025/07/30/0802_asafestival/
