GMAPM_ID,住所,緯度,経度
GMAPM_A20324,日本、〒839-1321 福岡県うきは市吉井町５３９−２,,
GMAPM_A20325,日本、〒839-1321 福岡県うきは市吉井町１１０２−１,,
GMAPM_E20012,日本、〒839-1204 福岡県久留米市田主丸町殖木８１６−２,,
GMAPM_E60018,日本、〒839-1204 福岡県久留米市田主丸町殖木８１６−２,,
GMAPM_A60153,日本、〒839-1321 福岡県うきは市吉井町５３９−２,,
GMAPM_A40210,日本、〒839-1321 福岡県うきは市吉井町５３９−２,,
GMAPM_E40014,日本、〒839-1204 福岡県久留米市田主丸町殖木８１６−２,,
GMAPM_A40211,日本、〒839-1321 福岡県うきは市吉井町１１０２−１,,
GMAPM_E50005,日本、〒839-1204 福岡県久留米市田主丸町殖木８１６−２,,
GMAPM_A30167,日本、〒839-1321 福岡県うきは市吉井町１１０２−１,,
GMAPM_A30168,日本、〒839-1321 福岡県うきは市吉井町５３９−２,,
GMAPM_E30009,日本、〒839-1204 福岡県久留米市田主丸町殖木８１６−２,,
GMAPM_A10255,日本、〒849-0918 佐賀県佐賀市兵庫南３丁目３−１３,,
GMAPM_A10256,日本、〒849-0919 佐賀県佐賀市兵庫北５丁目１４−１ ゆめタウン佐賀 1階,,
GMAPM_G10044,日本、〒840-0027 佐賀県佐賀市本庄町本庄１２５９,,
GMAPM_F10002,日本、〒840-0804 佐賀県佐賀市神野東１丁目２−１７,,
GMAPM_A10257,日本、〒840-0815 佐賀県佐賀市天神２丁目１−１５,,
GMAPM_A10258,日本、〒840-0825 佐賀県佐賀市中央本町７−９ 豊博ビル ２Ｆ,,
GMAPM_C70017,日本、〒840-0801 佐賀県佐賀市駅前中央３丁目１５−３,,
GMAPM_B70016,日本、〒849-0917 佐賀県佐賀市高木瀬町長瀬９４０−２,,
GMAPM_A70206,日本、〒849-0918 佐賀県佐賀市兵庫南２丁目７−５,,
GMAPM_A70207,日本、〒840-0805 佐賀県佐賀市神野西３丁目１−１,,
GMAPM_G70011,日本、〒840-0008 佐賀県佐賀市巨勢町牛島７８−３２,,
GMAPM_A70208,日本、〒840-0045 佐賀県佐賀市西田代１丁目６−１,,
GMAPM_A20326,日本、〒840-0812 佐賀県佐賀市愛敬町９−２３,,
GMAPM_D20022,日本、〒849-0922 佐賀県佐賀市高木瀬東５丁目２−１３,,
GMAPM_H20005,日本、〒840-0801 佐賀県佐賀市駅前中央３丁目１５−２１,,
GMAPM_F60002,日本、〒840-0804 佐賀県佐賀市神野東１丁目２−１７,,
GMAPM_A60154,日本、〒840-0832 佐賀県佐賀市堀川町２−１８ cocoビル 1F,,
GMAPM_F50006,日本、〒840-0804 佐賀県佐賀市神野東１丁目２−１７,,
