GMAPM_ID,住所,緯度,経度
GMAPM_D70186,日本、〒997-0857 山形県鶴岡市美咲町１８−２２,,
GMAPM_A20786,日本、〒997-0056 山形県鶴岡市中野京田上大坪５−１,,
GMAPM_A20787,日本、〒997-0016 山形県鶴岡市日和田町１２−５２,,
GMAPM_A20788,日本、〒997-0056 山形県鶴岡市中野京田上大坪５−１,,
GMAPM_E60042,日本、〒997-0857 山形県鶴岡市美咲町３２−５,,
GMAPM_A40476,日本、〒997-0056 山形県鶴岡市中野京田上大坪５−１,,
GMAPM_A40477,日本、〒997-0016 山形県鶴岡市日和田町１２−５２,,
GMAPM_A30511,日本、〒997-0056 山形県鶴岡市中野京田上大坪５−１,,
GMAPM_A30512,日本、〒997-0054 山形県鶴岡市高田甲６０,,
GMAPM_A30513,日本、〒997-0038 山形県鶴岡市北茅原町１０−２６ １０番地２６号,,
GMAPM_E10092,日本、〒999-3202 山形県上山市下生居新山吹３９６,,
GMAPM_G10089,日本、〒999-3211 山形県上山市牧野中道２５７−３,,
GMAPM_A60437,日本、〒990-0734 山形県西村山郡西川町志津１７２−３,,
GMAPM_A40478,日本、〒990-0734 山形県西村山郡西川町志津２,,
GMAPM_A40479,日本、〒990-0734 山形県西村山郡西川町志津２２,,
GMAPM_A10592,日本、〒960-8033 福島県福島市万世町３−３６,,
GMAPM_A10593,日本、〒960-8053 福島県福島市三河南町１９−７ 北東物産ビル,,
GMAPM_A10594,日本、〒960-8031 福島県福島市栄町１１−２５,,
GMAPM_A70539,日本、〒960-8153 福島県福島市黒岩遠沖１０−２０,,
GMAPM_C70042,日本、〒960-8253 福島県福島市泉宮内前宮内前１−１,,
GMAPM_C70043,日本、〒960-8055 福島県福島市野田町１丁目１５−１８,,
GMAPM_A20789,日本、〒960-8032 福島県福島市陣場町６−１４ 陣場河内ビル 1F,,
GMAPM_A20790,日本、〒960-8036 福島県福島市新町８−３,,
GMAPM_G20029,日本、〒960-8153 福島県福島市黒岩堂ノ後６８,,
GMAPM_A60438,日本、〒960-1101 福島県福島市大森北島３１ 葵ビル,,
GMAPM_C60031,日本、〒960-8025 福島県福島市駒山１,,
GMAPM_G40027,日本、〒960-8153 福島県福島市黒岩堂ノ後６８,,
GMAPM_A40480,日本、〒960-8152 福島県福島市鳥谷野岩田３６,,
GMAPM_A40481,日本、〒960-8053 福島県福島市三河南町１９−７ 北東物産ビル,,
GMAPM_A50312,日本、〒960-8141 福島県福島市渡利鳥居沢１９−２,,
GMAPM_G30012,日本、〒960-8153 福島県福島市黒岩堂ノ後６８,,
GMAPM_A30514,日本、〒960-8152 福島県福島市鳥谷野岩田３６,,
GMAPM_A30515,日本、〒960-8228 福島県福島市松山町２２−１,,
GMAPM_A10595,日本、〒973-8403 福島県いわき市内郷綴町秋山７−１２,,
GMAPM_A10596,日本、〒970-8036 福島県いわき市平谷川瀬１丁目１７−４,,
GMAPM_E10093,日本、〒970-8036 福島県いわき市平谷川瀬２丁目6−６,,
GMAPM_A70540,日本、〒970-8026 福島県いわき市平三倉６７−２４,,
GMAPM_A70541,日本、〒973-8403 福島県いわき市内郷綴町金谷２−１３,,
GMAPM_D70187,日本、〒970-8032 福島県いわき市平下荒川川前１４−１,,
GMAPM_A20791,日本、〒970-8026 福島県いわき市平倉前１１２−７,,
GMAPM_A20792,日本、〒973-8402 福島県いわき市内郷御厩町下宿3,,
GMAPM_A20793,日本、〒973-8408 福島県いわき市内郷高坂町大町19−７,,
GMAPM_A60439,日本、〒973-8402 福島県いわき市内郷御厩町下宿3,,
GMAPM_A60440,日本、〒970-8034 福島県いわき市平上荒川桜町２８−２,,
GMAPM_C60032,日本、〒970-8026 福島県いわき市平薬王寺台３,,
GMAPM_A40482,日本、〒970-8034 福島県いわき市平上荒川桜町２８−２,,
GMAPM_A40483,日本、〒970-8026 福島県いわき市平倉前１１２−７,,
GMAPM_A30516,日本、〒970-8026 福島県いわき市平倉前１１２−７,,
GMAPM_A30517,日本、〒970-8026 福島県いわき市平倉前１１２−７ ペットワールドアミーゴ,,
GMAPM_A30518,日本、〒970-8026 福島県いわき市平三倉６９−１,,
GMAPM_G10090,日本、〒965-0042 福島県会津若松市大町１丁目３−１９,,
GMAPM_D10077,日本、〒965-0873 福島県会津若松市追手町４−２８,,
GMAPM_A10597,日本、〒965-0042 福島県会津若松市大町１丁目９−５ 石川ビル 1F,,
