GMAPM_ID,住所,緯度,経度
GMAPM_A10140,日本、〒601-8113 京都府京都市南区上鳥羽南苗代町１８,,
GMAPM_E10019,日本、〒615-0807 京都府京都市右京区西京極東大丸町３４,,
GMAPM_A70117,日本、〒601-8103 京都府京都市南区上鳥羽仏現寺町１１,,
GMAPM_A70118,日本、〒600-8357 京都府京都市下京区柿本町５８２−３,,
GMAPM_A70119,日本、〒615-8121 京都府京都市西京区川島野田町２７−３,,
GMAPM_A70120,日本、〒601-8034 京都府京都市南区東九条南河辺町６４,,
GMAPM_A70121,日本、〒615-8034 京都府京都市西京区下津林東芝ノ宮町２ ロアールハイツ２,,
GMAPM_D70047,日本、〒601-8394 京都府京都市南区吉祥院中河原里北町４９,,
GMAPM_A20181,日本、〒615-0833 京都府京都市右京区西京極橋詰町３６ 2階 店舗B,,
GMAPM_A20182,日本、〒615-8107 京都府京都市西京区川島北裏町69−１８ 1階,,
GMAPM_A20183,日本、〒615-0814 京都府京都市右京区西京極下沢町２１−５,,
GMAPM_A20184,日本、〒601-8452 京都府京都市南区唐橋堂ノ前町３３−５,,
GMAPM_D20014,日本、〒600-8266 京都府京都市下京区上之町416番地2 HOTEL SUN CHLORELLA １F,,
GMAPM_A20185,日本、〒615-0883 京都府京都市右京区西京極南大入町８７,,
GMAPM_A60069,日本、〒601-8113 京都府京都市南区上鳥羽南苗代町１８,,
GMAPM_A60070,日本、〒604-8853 京都府京都市中京区壬生東淵田町５−１,,
GMAPM_A60071,日本、〒615-0833 京都府京都市右京区西京極橋詰町３６ 2階 店舗B,,
GMAPM_D40016,日本、〒600-8266 京都府京都市下京区上之町416番地2 HOTEL SUN CHLORELLA １F,,
GMAPM_A40118,日本、〒604-8841 京都府京都市中京区壬生東土居ノ内町30番２,,
GMAPM_D40017,日本、〒600-8882 京都府京都市下京区西七条比輪田町２８,,
GMAPM_A50052,日本、〒601-8353 京都府京都市南区吉祥院這登中町３ ３番地,,
GMAPM_F50001,日本、〒617-0002 京都府向日市寺戸町瓜生１７−２,,
GMAPM_A50053,日本、〒604-8812 京都府京都市中京区壬生相合町３３−１ 八千代ビル 1F,,
