イベント名
ワンタイムマルシェ with CAINZ @カインズ前橋吉岡店-ハロウィンパーティ-
第12回ワンタイムマルシェ @加須はなさき公園
いぬの夜まつり＠レイクタウン大芝生公園
WonWonマルシェ in ひろさきまちなかピクニック
わんワンダー夏祭り＠イオンモール土岐
SKYわんにゃんマーケット〜年に一度のnightマーケット〜
サロンマルシェ〜わんにゃふるver.〜
わんにゃんマルシェvol.21
フレスポ春日井 保護犬お見合い会 ＆チャリティーマルシェ
あつまれ！わんダーランド
Pet博2025横浜
ジャパンキャンピングカーショー2025
SÖPÖ SÖPÖ DOG TAIL FAIR（ソポソポドッグテイルフェア）
キラナわんわんデー
WAKUフェスニューイヤードッグ2025
アウトドアドッグマルシェ in 海老名
わんにゃんドーム 2025
貴族の祭典《ワタワンジャック》World Pomeranian Festival 2025
Pekingese MEET UP 2025
Shiba Festival 2025
ちよだ猫まつり
成田ゆめのドッグフェスティバル
ペット用品フェアin四国
福岡百道浜ドッグフェスタ2025
WAN’S Dog Expo 2025
わんこのフェス
Lovelyにゃんフェスタ
第4回 伊豆高第わんわんマルシェ
ハウスティアフェス2025 ～みんなでつくるペットシティ〜
九十九里ビーチドッグフェスティバル
ペットと一緒に防災体験inちがさき
御殿場プレミアム・アウトレット ドッグマルシェ
BOO!! BULL BOO!! FESTA 2025 AUTUMN in 八景島
KIBAワンニャンHAPPYフェス2025
いぬとぴあ鹿児島いずみ
with WAN heroes festival
Super wandarake! 41&42（名古屋）
インターペット
ARCHE! presents ペットフェス2025春
EXPO 2025 大阪・関西万博
BUHIマーケット
ペットフェス2025春 in 宮城県松島離宮
パートナードッグカーニバル in 鶴見緑地
ZIPANG
ALL DOGGIES FESTA
​わんだふる山口2025
猫フェス＠上越
にゃんだらけ
YOKOHAMA GOGO DOG FES 2025 Spring
代々木わんわんカーニバル
第2回晴海ふ頭　春のわんわんピクニック produced by わんこのフェス
パナソニック保護犬猫譲渡会
富士山わんわんマルシェ
ぺット王国
GOGO DOG FES in 三井アウトレットパーク　木更津
新宿わん博
DOG FESTIVAL
SippoFesta しっぽフェスタ
戌猫縁日
いぬのきもちフェスタ
舘山寺ドッグカー EXPO
等々力ドッグフェスティバル
にゃんこ博覧会2025
世界えがお博覧会
SHINAGAWA URBAN PET LIFE（品川アーバンペットライフ）
にいがた犬の陣
London Dog Festival　in　まつぶし緑の丘公園
ぺット博in幕張
インターペット大阪
LOHAS Festa EXPO 2025
ワン One day
にゃんだらけin 大阪
第1回NAKANO REAL HEALTH with Dog Sumit ～愛犬の健康をテーマにしたイベント～
東京ドッグショー2025
にゃんだらけin 名古屋
DOG EXPO FUKUOKA 2025
ペット博なごや
BAY WALK MARKET（横浜ベイフロント）
広島わんわん夏まつり 2025
さっぽろドッグフェスティバル
東京わんわん夏まつり 2025
Pet博2025 福岡
ペテモフェス
MARINE & WALK YOKOHAMA ドッグマルシェ
ドッグフレンドリーフェスタ in 帯広 2025
エビナ犬博(わんぱく)
アウトドアドッグフェスタ in八ヶ岳
北海道ペットフェスティバル
ひたちなかドッグフェスティバル
わんにゃんスマイルFES 2025・秋
駒沢わんこ祭り
犬市場 in OKAZAKI 2025 Autumn
London Dog Festival 2025 in まつぶし緑の丘公園
ワンダフルフェス（金沢）
1＋わんわんフェスタ（広島・福山）
わんワンダーフェス（岐阜）
YOKOHAMA GOGO DOG FES 秋
ラブリーにゃんフェスタ 大阪
FUJI DOG 2025
アニマルピックフェスタ in 浜名湖 2025
光が丘公園フェスタ
ねこばっか＋ワン vol.10
ペット博大阪
しっぽフェスタ（Sippo Festa）2025 春
ドギーズクリスマスマーケット
犬祭里山テラス（犬祭りテラス）
第2回 わんてらす dog & マルシェ in昭島 【イベント情報】 2023年12月24日(日)開催
＜開催中止＞ あつまれ！わんダーランド in KOBE MOSAIC前 【兵庫県神戸市】 2025年5月24日(土)開催
‘Amo わん FESTA 【イベント情報】 2023年5月27日(土)・28日(日)開催
人も、犬も、猫ちゃんもみんな笑顔のマルシェ
【栃木県那須郡】ワンダフルフェスマルシェ
【東京都江東区のドッグイベント】東京キャンピングカーショー2025
【東京都渋谷区のドッグイベント】もんもん祭り
【東京都渋谷区のドッグイベント】うちの子撮影＆受注会
【東京都渋谷区のドッグイベント】ワンコnowa THE STORE POPUP
【埼玉県上尾市のドッグイベント】PINPIN Marche
【埼玉県入間市のドッグイベント】わんちゃん夜祭り supported by わんてらす in三井アウトレットパーク 入間
【千葉県柏市のドッグイベント】ワンOneday at 柏の葉 かけだし横丁
【茨城県守谷市のドッグイベント】わんてらす night in DOG PARK RUN and POOL
【東京都渋谷区のドッグイベント】Do One Good
【神奈川県横浜市のドッグイベント】ドッグランキャラバン
【千葉県白井市のドッグイベント】犬と夏祭りin白井総合公園
【千葉県千葉市のドッグイベント】WAN LOVE MARKET
London Dog Festival 2025 in まつぶし緑の丘公園
【東京都江東区のドッグイベント】東京わんわん夏まつり2025
【東京都八王子市】わんわんプール
【神奈川県足柄上郡のドッグイベント】BBQ ＆ スイカ割体験付き川遊び
【東京都町田市のドッグイベント】Chiro＆Pero 夏祭り
【神奈川県横浜市のドッグイベント】犬だらけの水泳大会2025
第8回 wankoPARTY わんこパーティー（兵庫）
犬楽園フェスタ 2025（宮城）
駒沢わんこ祭り 2025
第2回 広島いぬざんまい
犬市場 in OKAZAKI 2025 Autumn
BOO!! BULL BOO!! FESTA 2025 AUTUMN in 八景島
THE DOG FES -犬のハロウィンマーケット-
第4回 ラブドッグ＆マルシェ love&dog marche
ワン友マルシェ vol.10
いぬの夜まつり@レイクタウン大芝生広場
広島わんわん夏まつり 2025
AMILIE（アミリエ）「犬とのくらし部」「猫とのくらし部」第1期の部員さんをご紹介！
2025年8月ペットイベント情報【東海版】
2025年8月ペットイベント情報【九州版】
2025年8月ペットイベント情報【関東版】
【群馬県太田市】2025年6月28日（土）「お客さま感謝祭♪」（有限会社齋藤住建）
2025年７月ペットイベント情報【関東版】
【zoomオンライン相談会】6/28（土）愛犬との暮らし オンライン相談会 to JOIN（株式会社市川工務店）
2025年6月ペットイベント情報【九州版】
【広島県三原市】2025年6月8日(日) 広島犬イベント vol.4  in八天堂village（三島建材株式会社）
【福岡県北九州市】2025年6月1日（日）🐶ひびきDOGフェス2025🐶（CORE-style）
【北海道札幌市南区】2025年5月24日(土)～25日(日) Hokkaido Dog Festa 2025春（ケイアイコーポレーション株式会社）
【東京都立川市緑町】5/24（土）～5/25日　Sippo Festa 2025春（株式会社ブルケン・マルタマ）
【東京都立川市緑町】5/24（土）~5/25日（日)　Sippo Festa 2025春（わんラバ：アーバンシステム株式会社）
【山梨県笛吹市】5/18(日) わんわんマルシェ（株式会社市川工務店）
【埼玉県深谷市】5/17(土)～5/18(日) 第6回TERRACEPARK DOG FES（株式会社渋沢 住宅事業部）
