
name,date,location,venue,address,prefecture,city,lat,lon,source,url
【民間の力を引き出す 公民連携の仕組み】公民連携のはじめかた（事業主編）大東市morinekiの場合,2023/8/17(木),オンライン・NPO法人自治経営×リノベリング共催,,オンライン・NPO法人自治経営×リノベリング共催,,オンライン・NPO法人自治経営×リノベリング共催,,,MLIT,https://ppp0817.peatix.com/
【民間の力を引き出す 公民連携の仕組み】公民連携のはじめかた（行政編）条例を作った大東市の場合,2023/7/11(火),オンライン・NPO法人自治経営×リノベリング共催,,オンライン・NPO法人自治経営×リノベリング共催,,オンライン・NPO法人自治経営×リノベリング共催,,,MLIT,https://ppp0711.peatix.com/
サステナブルな地域交通,2023/7/20(木),オンライン・(株)YEデジタル,,オンライン・(株)YEデジタル,,オンライン・(株)YEデジタル,,,MLIT,https://www.ye-digital.com/jp/news/detail.php?id=514&year=2023
「Park(ing)Day、まちをかえる」展,2024/2/7(水) to 11(日),渋谷区立北谷公園 大屋根エリア,,渋谷区立北谷公園 大屋根エリア,,渋谷区立北谷公園 大屋根エリア,,,MLIT,https://sotonoba.place/parkingday-exhibiton2024
第35回技術研究発表会,2023/12/1(金),ハイブリッド形式・UIT,,ハイブリッド形式・UIT,,ハイブリッド形式・UIT,,,MLIT,http://www.uit.gr.jp/tech_research2023/
「足を止めたくなる居心地の良い空間づくりについての実証実験」を開催します！,2023/12/2(土) to 4(月),KOITTO(一般社団法人小岩駅周辺地区エリアマネジメント),,KOITTO(一般社団法人小岩駅周辺地区エリアマネジメント),,KOITTO(一般社団法人小岩駅周辺地区エリアマネジメント),,,MLIT,https://koitto518.com/information/3845/
「高麗橋オープンストリート２０２３」を開催します！,2023/11/17(金) to 19(日),船場博覧会実行委員会、大阪市中央区役所,,船場博覧会実行委員会、大阪市中央区役所,,船場博覧会実行委員会、大阪市中央区役所,,,MLIT,https://semba-navi.com/event/openstreet2023/
「八幡東田未来共創社会実験 MAKER's STREET」を開催します！,2023/11/3(金) to 5(日),北九州市,,北九州市,,北九州市,33.8829996,130.8749015,MLIT,https://yahata-higashida.com/topics/20231023.html
「KITABURA STREET PARK PROJECT 2023」を開催します！,2023/10/3(火) to 15(日),和歌山市・北ぶらくり丁商店街,,和歌山市・北ぶらくり丁商店街,,和歌山市・北ぶらくり丁商店街,,,MLIT,http://www.city.wakayama.wakayama.jp/kankou/event/1003232/1052597.html
「東横堀川ING　2023秋」を開催します！,2023/9/22(金) to 10/1(日),大阪市・東横堀川（末吉橋）,,大阪市・東横堀川（末吉橋）,,大阪市・東横堀川（末吉橋）,34.6752133,135.5105339,MLIT,https://hommachibashi.jp/project/2023/08/08/ing2023autumn/
座り場づくりワークショップ,2023/9/30(土),小諸市,,小諸市,,小諸市,36.3272526,138.4259718,MLIT,https://machitanehiroba.com/archives/1431
カマクリミュージアム　土と水の広場,2023/9/23(土),宇都宮市,,宇都宮市,宇都,宮市,36.5549677,139.8828776,MLIT,https://kamakuri.info/news/284/
「まちなかの宝を探そう！」,2023/7/25(火),別府市,,別府市,別府,市,33.2796779,131.5001342,MLIT,https://www.mlit.go.jp/toshi/local-event/
「まちなかの宝を探そう！」,2023/7/12(水),黒石市,,黒石市,,黒石市,40.6423427,140.5951263,MLIT,https://www.mlit.go.jp/toshi/local-event/
NAKAME GOOD LOCAL,2024/3/16(土),フナイリバヒロバ,,フナイリバヒロバ,,フナイリバヒロバ,,,MLIT,https://www.city.meguro.tokyo.jp/chikuseibi/shigoto/machidukuri/torikumi.html
HANEDA INNOVATION CITY Grand Opening Event∅,2023/11/17(金) to 19(日),現地開催,,現地開催,,現地開催,25.0106165,121.5030511,MLIT,https://haneda-innovation-city-gop.com/
ふらっと大門・丸之内,丸之内 10/25 to 31  大門 11/7 to 13,津市,,津市,,津市,34.7341973,136.5153283,MLIT,https://www.info.city.tsu.mie.jp/www/contents/1640339886527/index.html
IKEBUKURO LIVING LOOP SPECIAL MARKET,2023/11/3(金) to 5(日),池袋東口グリーン大通りほか,,池袋東口グリーン大通りほか,,池袋東口グリーン大通りほか,,,MLIT,https://ikebukuropark.com/livingloop/
新見駅周辺みらいプロジェクト設立記念フォーラム「新見駅周辺めぐりめぐる　まちづくりトーク」,2023/10/14(土),新見市,,新見市,,新見市,34.9775653,133.4704309,MLIT,https://www.mlit.go.jp/toshi/local-event/
「令和５年度土地活用モデル大賞」の募集を開始しました！,2023/8/10(木)締切,（一財）都市みらい推進機構,,（一財）都市みらい推進機構,（一財）都,市みらい推進機構,34.7097632,135.8048809,MLIT,http://www.toshimirai.jp/tochikatuyou/index.html
